Category,Facebook (Users),Twitter (Users),Instagram (Users),LinkedIn (Users),YouTube (Users)
Fashion,3000,2000,2500,1500,1000
Beauty,2000,1500,1800,1000,2500
Travel,2500,1800,2000,1500,3000
Food,1800,2000,1500,2500,2000
Fitness,2000,2500,1800,1500,1000
Entertainment,1500,1000,2500,3000,2000
Technology,2000,2500,1500,3000,1800
Lifestyle,2500,1800,2000,1000,1500
Education,1500,2000,2500,1800,3000
Health,2000,1500,3000,2500,1800
News,1800,2500,1000,2000,1500
Business,2500,3000,1500,1800,2000
Sports,2000,1500,1800,2500,3000
