Category,Web Development (Users),Data Science (Users),Cybersecurity (Users),Artificial Intelligence (Users),Social Media (Users)
IT,200,150,180,130,250
Marketing,100,120,150,100,200
Finance,150,180,200,150,250
Education,100,200,250,180,150
Healthcare,200,180,150,130,100
Science,150,200,100,250,120
Business,180,150,100,200,170
Government,130,100,150,180,200
E-commerce,250,130,100,200,150
Gaming,120,100,200,180,150
Mobile,180,200,150,100,250
Retail,150,180,130,200,100
Telecommunications,120,150,200,170,130
Automotive,100,200,250,150,180
