Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2022-01-03,120,123.5,125,118
2022-01-10,124,127.6,130,122
2022-01-17,126,128,129,124
2022-01-24,130,131.8,133,126.5
2022-01-31,134,135,137,131
2022-02-07,133,131.5,134.5,130
2022-02-14,132,129,133,127
2022-02-21,130,131.4,133,128
2022-02-28,132,134,136,129
2022-03-07,133,135.5,137.5,131.5
2022-03-14,136,137,139,134
2022-03-21,138,140,142,136
2022-03-28,141,143,145,139
2022-04-04,144,146,148,142
2022-04-11,147,148.5,150,144.5
2022-04-18,149,151,153,146
2022-04-25,151,153.3,155,148
