Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2022-07-01,120,130,135,118
2022-07-02,133,132,135,129
2022-07-03,132,140,142,130
2022-07-04,142,145,147,140
2022-07-05,145,147,150,142
2022-07-06,147,150,152,145
2022-07-07,150,155,158,145
2022-07-08,157,156,160,155
2022-07-09,156,160,163,154
2022-07-10,161,163,165,160
2022-07-11,165,172,175,162
2022-07-12,170,169,172,167
2022-07-13,171,174,178,166
2022-07-14,175,180,182,174
2022-07-15,180,182,185,178
2022-07-16,185,190,193,182
2022-07-17,192,200,203,190
2022-07-18,198,197,200,195
2022-07-19,200,205,210,198
2022-07-20,210,218,220,200
