Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2021-10-20,122.5,124.7,125.5,120.2
2021-10-21,126,128.6,130,125
2021-10-22,130,131.5,132,128
2021-10-25,132.2,130.9,133.5,127.4
2021-10-26,130,131.2,132.4,127
2021-10-27,134,137,139,133
2021-10-28,138,139.5,140.2,135
2021-10-29,143,145,149,140
2021-10-30,146,148,152,145
2021-11-02,150,151,153,147
2021-11-03,152,153,156,150
2021-11-04,154,155,157,152
2021-11-05,158,160,163,156
2021-11-06,161,163,165,159
2021-11-09,164,166,168,160
2021-11-10,167,168,172,165
2021-11-11,169,170,174,166
2021-11-12,171,173,175,170
2021-11-13,175,176,178,172
2021-11-16,177,178,180,175
