Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2021-01-04,37.6,36.9,38.5,36.2
2021-01-11,37.1,38.7,39.2,35.5
2021-01-18,39.3,40.1,40.5,37.8
2021-01-25,39.6,39.8,41.2,38.1
2021-02-01,40.8,41.3,42.5,39.4
2021-02-08,42.1,42.5,43.7,41.1
2021-02-15,43.4,43.3,44.7,42.9
2021-02-22,43.6,44.4,45.8,43.1
2021-03-01,44.6,45.5,46.9,43.6
2021-03-08,45.8,46.5,47.7,44.1
2021-03-15,46.4,46.2,48.5,45.8
2021-03-22,46.6,47.3,48.9,46
2021-03-29,47.8,48.1,49.5,46.8
2021-04-05,48.1,47.9,50.3,47
2021-04-12,47.9,48.7,50.1,47.1
2021-04-19,48.3,48.1,50.5,47.3
2021-04-26,48.4,49.3,51.7,47.9
