Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2021-01-01,295000,300000,320000,290000
2021-01-08,310000,315000,330000,305000
2021-01-15,310000,305000,315000,300000
2021-01-22,300000,305000,310000,290000
2021-01-29,310000,325000,330000,310000
2021-02-05,330000,315000,340000,310000
2021-02-12,310000,320000,325000,290000
2021-02-19,310000,315000,320000,290000
2021-02-26,320000,325000,330000,310000
2021-03-05,335000,330000,355000,320000
2021-03-12,340000,350000,360000,330000
2021-03-19,345000,360000,370000,340000
2021-03-26,365000,370000,385000,350000
