Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2020-01-01,42,43.5,45,40
2020-01-02,43.5,44,46.2,41.9
2020-01-03,44,45,47,42
2020-01-04,45,46.5,48.5,43.2
2020-01-05,46.5,47,50,44
2020-01-06,47,48,51,45
2020-01-07,48,49.5,52,46.5
2020-01-08,49.5,50,53,47
2020-01-09,50,51.5,54.5,48
2020-01-10,51.5,52,55,49
2020-01-11,52,53,56.2,50
2020-01-12,53,54,57,51
2020-01-13,54,55.5,58,52
2020-01-14,55.5,56,59,52.5
2020-01-15,56,57,60,53.5
2020-01-16,57,58,61,54
2020-01-17,58,59.5,62,55.3
2020-01-18,59.5,60,63,56
2020-01-19,60,61.5,64,57
