Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2019-06-01,150,155.2,160,145
2019-06-02,155,157.4,165,152
2019-06-03,157,160.5,170,156
2019-06-04,160,165.7,175,158
2019-06-05,165,170.3,180,160
2019-06-06,170,175.1,190,165
2019-06-07,175,177.3,195,170
2019-06-08,177,180.4,200,172
2019-06-09,180,185.0,205,175
2019-06-10,185,187.2,210,180
2019-06-11,187,192.6,215,182
2019-06-12,192,197.8,220,185
2019-06-13,197,200.1,225,190
2019-06-14,200,205.2,230,195
2019-06-15,205,210.4,235,200
2019-06-16,210,215.5,240,205
