Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2021-01-03,75,79,81,72
2021-01-10,78,77,82,76
2021-01-17,76,80,83,75
2021-01-24,81,85,88,80
2021-01-31,85,86,89,83
2021-02-07,86,84,87,82
2021-02-14,84,85,88,81
2021-02-21,86,87,90,85
2021-02-28,88,90,92,86
2021-03-07,90,92,94,88
2021-03-14,93,94,96,90
2021-03-21,94,96,98,92
2021-03-28,97,99,101,94
2021-04-04,99,100,103,96
2021-04-11,100,101,104,98
2021-04-18,102,104,106,99
2021-04-25,105,106,108,102
2021-05-02,107,108,110,104 
2021-05-09,108,110,112,105 
2021-05-16,110,112,114,107
