Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2022-09-01,25.00,27.50,28.00,24.50
2022-09-02,27.50,26.00,28.50,25.00
2022-09-03,26.00,29.00,30.00,25.50
2022-09-04,29.00,30.50,31.00,28.50
2022-09-05,30.50,35.00,36.00,30.00
2022-09-06,35.00,33.00,35.50,32.00
2022-09-07,33.00,36.00,37.00,32.50
2022-09-08,36.00,40.00,41.00,35.50
2022-09-09,40.00,39.00,42.00,38.00
2022-09-10,39.00,42.00,43.00,38.50
2022-09-11,42.00,45.00,46.00,41.50
2022-09-12,45.00,44.00,46.50,43.00
2022-09-13,44.00,47.00,48.00,43.50
2022-09-14,47.00,50.00,51.00,46.50
2022-09-15,50.00,54.00,55.00,49.50
2022-09-16,54.00,53.00,55.00,52.00
