Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2020-01-10,120000,125000,130000,115000
2020-02-10,127000,129000,135000,120000
2020-03-10,131000,130000,140000,125000
2020-04-10,130000,132500,142000,128000
2020-05-10,135000,138000,145000,131000
2020-06-10,139000,143000,150000,135000
2020-07-10,145000,147000,155000,140000
2020-08-10,150000,155000,165000,145000
2020-09-10,157000,160000,170000,152000
2020-10-10,163000,164000,172000,155000
2020-11-10,166000,169000,175000,160000
2020-12-10,170000,173000,180000,165000
2021-01-10,175000,178000,185000,170000
2021-02-10,180000,185000,190000,175000
2021-03-10,185000,189000,195000,180000
2021-04-10,192000,193000,200000,187000
2021-05-10,195000,199000,205000,190000
2021-06-10,200000,203000,210000,195000
2021-07-10,204000,207000,213000,200000
