Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2020-06-01,2500,2600,2700,2450
2020-06-02,2600,2650,2800,2550
2020-06-03,2700,2880,3000,2600
2020-06-04,2900,2950,3100,2800
2020-06-05,3000,3080,3200,2900
2020-06-06,3100,3200,3300,3000
2020-06-07,3200,3250,3400,3100
2020-06-08,3250,3500,3600,3200
2020-06-09,3500,3550,3700,3400
2020-06-10,3550,3700,3800,3500
2020-06-11,3700,3750,3900,3600
2020-06-12,3750,3850,4000,3700
2020-06-13,3900,3950,4100,3800
2020-06-14,4000,4050,4200,3900
2020-06-15,4050,4250,4350,4000
2020-06-16,4250,4300,4450,4100
2020-06-17,4300,4500,4600,4200
2020-06-18,4500,4550,4700,4400
2020-06-19,4600,4700,4800,4500
2020-06-20,4700,4800,4900,4700
