Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2022-06-01,105.5,102,108.2,100.8
2022-06-02,102,104.1,105.2,100.9
2022-06-03,104,103,105,101
2022-06-04,103,108.7,110.6,102
2022-06-05,108,111.9,112.2,105 
2022-06-06,111,112.8,114.1,108 
2022-06-07,112,113,114,108.5 
2022-06-08,113,120,121,112 
2022-06-09,120,121,122,118 
2022-06-10,121,125,128,120 
2022-06-11,125,130,132,125 
2022-06-12,130,134,135,129 
2022-06-13,134,136,138,130 
2022-06-14,136,138,139,135 
2022-06-15,138,139,140,137
