Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2021-01-01,5000,5050,5200,4900
2021-01-02,5050,5100,5200,5000
2021-01-03,5150,5200,5400,5100
2021-01-04,5200,5300,5400,5150
2021-01-05,5350,5400,5500,5200
2021-01-06,5400,5500,5600,5300
2021-01-07,5550,5600,5700,5400
2021-01-08,5600,5700,5800,5500
2021-01-09,5750,5800,5900,5600
2021-01-10,5850,5900,6000,5800
2021-01-11,5950,6000,6100,5900
2021-01-12,6000,6100,6200,5950
2021-01-13,6100,6200,6300,6050
2021-01-14,6250,6300,6400,6200
2021-01-15,6350,6400,6500,6300
2021-01-16,6450,6500,6600,6400
2021-01-17,6500,6600,6700,6450
2021-01-18,6600,6700,6800,6550
2021-01-19,6700,6800,6900,6650
2021-01-20,6800,6900,7000,6750
