Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2022-01-01,100,105,110,90
2022-01-08,105,107,112,102
2022-01-15,108,111,115,106
2022-01-22,111,114,120,110
2022-01-29,115,116,121,113
2022-02-05,117,119,123,115
2022-02-12,120,122,126,118
2022-02-19,122,123,128,121
2022-02-26,124,125,129,123
2022-03-05,126,128,132,125
2022-03-12,129,130,135,127
2022-03-19,131,134,139,130
2022-03-26,134,136,141,133
2022-04-02,137,139,144,136
2022-04-09,141,142,147,140
2022-04-16,143,146,151,142
2022-04-23,146,148,153,145
2022-04-30,149,151,156,148
