Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2021-01-10,101,105,108,98
2021-01-17,107,108,112,100
2021-01-24,106,105,110,104
2021-01-31,102,112,120,101
2021-02-07,118,120,125,115
2021-02-14,120,122,130,110
2021-02-21,124,123,132,120
2021-02-28,125,130,135,121
2021-03-07,134,135,140,130
2021-03-14,136,140,142,130
2021-03-21,141,145,147,132
2021-03-28,146,148,150,142
2021-04-04,150,151,153,146
2021-04-11,152,154,157,149
2021-04-18,155,160,162,152
2021-04-25,160,165,167,158
