Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2021-01-01,190000,192000,195000,188000
2021-02-01,192000,195000,198000,190000
2021-03-01,195000,200000,202000,194000
2021-04-01,200000,201500,205000,198000
2021-05-01,201500,210000,215000,200000
2021-06-01,210000,208000,211000,203000
2021-07-01,208000,206000,210000,202000
2021-08-01,206000,210000,213000,204000
2021-09-01,210000,215000,219000,207000
2021-10-01,215000,220000,225000,214000
2021-11-01,220000,225000,230000,218000
2021-12-01,225000,228000,232000,221000
