Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2019-01-01,120,122,125,115
2019-02-01,123,125,128,120
2019-03-01,127,130,135,125
2019-04-01,132,135,140,130
2019-05-01,135,138,143,133
2019-06-01,138,141,146,136
2019-07-01,142,145,150,140
2019-08-01,145,148,153,143
2019-09-01,148,151,156,146
2019-10-01,152,155,160,150
2019-11-01,155,158,163,153
2019-12-01,158,161,166,156
2020-01-01,162,165,170,160
2020-02-01,165,168,173,163
2020-03-01,168,171,176,166
2020-04-01,172,175,180,170
