Date,Opening Price ($),Closing Price ($),High Price ($),Low Price ($)
2019-01-01,200,210.2,213.4,190
2019-01-02,212,215,217.6,200
2019-01-03,216,220,222.8,202
2019-01-04,222,228,232.1,215
2019-01-05,230,232,236.4,220.8
2019-01-06,235,236,237.6,223
2019-01-07,238,240,243,228
2019-01-08,242,248,250.4,234
2019-01-09,248,253,257.2,240
2019-01-10,255,257,259.6,242
2019-01-11,258,262,265.8,248
2019-01-12,263,265,267.8,253
2019-01-13,267,269,273,258
2019-01-14,270,275,279.2,263
2019-01-15,277,280,284.4,268
